CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,latitude,longitude,crimeCaseNumber,Total Incidents
02/21/2015,1102,1.0,3800 RIDGEWOOD AV,HOMICIDE,FIREARM,624,NORTHWESTERN,Dolfield,39.33633,-76.67928,,1
02/14/2015,1635,1.0,1700 ASHBURTON ST,HOMICIDE,FIREARM,735,WESTERN,Coppin Heights/Ash-Co-East,39.30757,-76.66212,,1
02/12/2015,1837,1.0,,HOMICIDE,FIREARM,,,,,,,1
02/12/2015,101,1.0,300 COLLINS AV,HOMICIDE,FIREARM,833,SOUTHWESTERN,Irvington,39.28111,-76.68357,,1
02/11/2015,1908,1.0,3900 W GARRISON AV,HOMICIDE,FIREARM,614,NORTHWESTERN,Langston Hughes,39.34332,-76.68028,,1
02/03/2015,111,1O,400 S EATON ST,HOMICIDE,OTHER,224,SOUTHEASTERN,Highlandtown,39.28762,-76.56539,,1
02/01/2015,1550,1.0,4500 N ROGERS AV,HOMICIDE,FIREARM,634,NORTHWESTERN,Woodmere,39.34375,-76.694,,1
02/01/2015,1407,1.0,600 N ELLWOOD AV,HOMICIDE,FIREARM,223,SOUTHEASTERN,Ellwood Park/Monument,39.29844,-76.5738,,1
01/31/2015,2300,1.0,5300 FRANKFORD AV,HOMICIDE,FIREARM,434,NORTHEASTERN,Frankford,39.32441,-76.54079,,1
01/30/2015,2000,1.0,3000 Liberty Heights Av,HOMICIDE,FIREARM,625,NORTHWESTERN,Ashburton,39.32252,-76.66569,,1
01/29/2015,1153,1.0,900 STAMFORD RD,HOMICIDE,FIREARM,823,SOUTHWESTERN,West Hills,39.29594,-76.70954,,1
01/29/2015,1910,1.0,4400 PRUDENCE ST,HOMICIDE,FIREARM,911,SOUTHERN,Curtis Bay,39.22558,-76.59158,,1
01/29/2015,1328,1.0,2300 E LAFAYETTE AV,HOMICIDE,FIREARM,331,EASTERN,Broadway East,39.31105,-76.58542,,1
01/28/2015,1310,1.0,2300 WALBROOK AV,HOMICIDE,FIREARM,735,WESTERN,Mondawmin,39.31068,-76.65423,,1
01/26/2015,2136,1.0,2000 PENNSYLVANIA AV,HOMICIDE,FIREARM,131,CENTRAL,Upton,39.30631,-76.63797,,1
01/25/2015,1849,1K,4500 FURLEY AV,HOMICIDE,KNIFE,436,NORTHEASTERN,Frankford,39.33025,-76.5549,,1
01/24/2015,2206,1.0,4400 FRANCONIA DR,HOMICIDE,FIREARM,436,NORTHEASTERN,Frankford,39.32665,-76.55822,,1
01/18/2015,1917,1.0,2000 DENISON ST,HOMICIDE,FIREARM,812,SOUTHWESTERN,Mount Holly,39.31022,-76.67423,,1
01/18/2015,1917,1.0,2000 DENISON ST,HOMICIDE,FIREARM,812,SOUTHWESTERN,Mount Holly,39.31022,-76.67423,,1
01/17/2015,1445,1.0,1700 PRESSTMAN ST,HOMICIDE,FIREARM,731,WESTERN,Sandtown-Winchester,39.30536,-76.64481,,1
01/12/2015,1953,1.0,1700 HOMESTEAD ST,HOMICIDE,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,39.32029,-76.59453,,1
01/11/2015,2245,1.0,4600 EDMONDSON AV,HOMICIDE,FIREARM,823,SOUTHWESTERN,Hunting Ridge,39.29344,-76.69434,,1
01/10/2015,1950,1.0,1900 MC CULLOH ST,HOMICIDE,FIREARM,131,CENTRAL,Druid Heights,39.30737,-76.63381,,1
01/09/2015,1555,1.0,5900 GLENKIRK RD,HOMICIDE,FIREARM,423,NORTHEASTERN,Ramblewood,39.36343,-76.58948,,1
01/09/2015,1555,1.0,5900 GLENKIRK RD,HOMICIDE,FIREARM,423,NORTHEASTERN,Ramblewood,39.36343,-76.58948,,1
01/05/2015,1330,1O,1100 N CARROLLTON AV,HOMICIDE,OTHER,715,WESTERN,Sandtown-Winchester,39.30138,-76.63746,,1
01/04/2015,1836,1.0,1100 N WOODYEAR ST,HOMICIDE,FIREARM,715,WESTERN,Sandtown-Winchester,39.30133,-76.63958,,1
01/04/2015,913,1.0,1900 62ND ST,HOMICIDE,FIREARM,432,NORTHEASTERN,Pulaski Industrial Area,39.31527,-76.53226,,1
01/03/2015,120,1.0,2600 SEVILLE AV,HOMICIDE,FIREARM,534,NORTHERN,Levindale,39.35168,-76.66712,,1
01/03/2015,610,1.0,500 QUEENSGATE RD,HOMICIDE,FIREARM,833,SOUTHWESTERN,Beechfield,39.27613,-76.69685,,1
01/03/2015,7,1.0,4500 ERDMAN AV,HOMICIDE,FIREARM,431,NORTHEASTERN,Orangeville Industrial Area,39.30966,-76.5633,,1
