CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,latitude,longitude,crimeCaseNumber,Total Incidents
02/20/2015,2005,9S,1600 W NORTH AV,SHOOTING,FIREARM,733,WESTERN,Penn North,39.31,-76.64318,,1
02/19/2015,1100,9S,1100 GLENEAGLE RD,SHOOTING,FIREARM,522,NORTHERN,Glen Oaks,39.3638,-76.59594,,1
02/16/2015,1910,9S,2100 N ROSEDALE ST,SHOOTING,FIREARM,812,SOUTHWESTERN,Walbrook,39.31178,-76.66951,,1
02/12/2015,1318,9S,2000 FREDERICK AV,SHOOTING,FIREARM,836,SOUTHWESTERN,Boyd-Booth,39.28625,-76.64861,,1
02/12/2015,35,9S,2200 N FULTON AV,SHOOTING,FIREARM,736,WESTERN,Parkview/Woodbrook,39.3133,-76.64624,,1
02/12/2015,1837,9S,,SHOOTING,FIREARM,,,,,,,1
02/12/2015,1338,9S,400 N BRADFORD ST,SHOOTING,FIREARM,221,SOUTHEASTERN,McElderry Park,39.29592,-76.58428,,1
02/09/2015,2132,9S,4900 LIBERTY HEIGHTS AV,SHOOTING,FIREARM,626,NORTHWESTERN,Howard Park,39.33235,-76.69861,,1
02/02/2015,37,9S,100 N POPPLETON ST,SHOOTING,FIREARM,712,WESTERN,Poppleton,39.29004,-76.63225,,1
02/01/2015,1407,9S,600 N ELLWOOD AV,SHOOTING,FIREARM,223,SOUTHEASTERN,Ellwood Park/Monument,39.29844,-76.5738,,1
01/31/2015,2354,9S,200 MASON CT,SHOOTING,FIREARM,212,SOUTHEASTERN,Perkins Homes,39.28836,-76.59587,,1
01/30/2015,2219,9S,0 N BENTALOU ST,SHOOTING,FIREARM,735,WESTERN,Penrose/Fayette Street Outreach,39.28943,-76.65295,,1
01/29/2015,1328,9S,2300 E LAFAYETTE AV,SHOOTING,FIREARM,331,EASTERN,Broadway East,39.31105,-76.58542,,1
01/29/2015,1053,9S,1100 N Patterson Park Av,SHOOTING,FIREARM,323,EASTERN,Middle East,39.30392,-76.58548,,1
01/28/2015,1149,9S,4800 WILERN AV,SHOOTING,FIREARM,614,NORTHWESTERN,Central Park Heights,39.34424,-76.6746,,1
01/27/2015,2340,9S,3600 9TH ST,SHOOTING,FIREARM,913,SOUTHERN,Brooklyn,39.23452,-76.59798,,1
01/27/2015,2049,9S,1000 E LOMBARD ST,SHOOTING,FIREARM,211,SOUTHEASTERN,Jonestown,39.28926,-76.60228,,1
01/26/2015,2056,9S,900 POPLAR GROVE ST,SHOOTING,FIREARM,815,SOUTHWESTERN,Franklintown Road,39.29812,-76.66516,,1
01/26/2015,2056,9S,900 POPLAR GROVE ST,SHOOTING,FIREARM,815,SOUTHWESTERN,Franklintown Road,39.29812,-76.66516,,1
01/23/2015,1900,9S,800 N BELNORD AV,SHOOTING,FIREARM,334,EASTERN,Madison-Eastend,39.3004,-76.5789,,1
01/23/2015,1435,9S,100 S CALVERTON RD,SHOOTING,FIREARM,836,SOUTHWESTERN,Shipley Hill,39.28684,-76.65223,,1
01/22/2015,2225,9S,4400 THE ALAMEDA,SHOOTING,FIREARM,524,NORTHERN,Wilson Park,39.34379,-76.60002,,1
01/20/2015,1545,9S,800 N CAREY ST,SHOOTING,FIREARM,713,WESTERN,Harlem Park,39.29792,-76.63867,,1
01/19/2015,2040,9S,700 N GRANTLEY ST,SHOOTING,FIREARM,815,SOUTHWESTERN,Edgewood,39.29699,-76.67575,,1
01/19/2015,2040,9S,700 N GRANTLEY ST,SHOOTING,FIREARM,815,SOUTHWESTERN,Edgewood,39.29699,-76.67575,,1
01/17/2015,1615,9S,1800 EDMONDSON AV,SHOOTING,FIREARM,722,WESTERN,Harlem Park,39.29522,-76.64607,,1
01/17/2015,2324,9S,0 S GILMOR ST,SHOOTING,FIREARM,933,SOUTHERN,Franklin Square,39.28825,-76.64234,,1
01/17/2015,2312,9S,1200 E MONUMENT ST,SHOOTING,FIREARM,315,EASTERN,Oldtown,39.29811,-76.60162,,1
01/17/2015,2200,9S,500 BEAUMONT AV,SHOOTING,FIREARM,524,NORTHERN,Winston-Govans,39.35173,-76.60907,,1
01/16/2015,2107,9S,1500 W FAYETTE ST,SHOOTING,FIREARM,712,WESTERN,Franklin Square,39.28969,-76.64125,,1
01/16/2015,2155,9S,1600 E 25TH ST,SHOOTING,FIREARM,312,EASTERN,Darley Park,39.31666,-76.59535,,1
01/16/2015,2107,9S,1500 W FAYETTE ST,SHOOTING,FIREARM,712,WESTERN,Franklin Square,39.28969,-76.64125,,1
01/14/2015,1225,9S,1100 BAYARD ST,SHOOTING,FIREARM,935,SOUTHERN,Carroll Park,39.28026,-76.63765,,1
01/13/2015,2210,9S,2200 WESTBURY AV,SHOOTING,FIREARM,736,WESTERN,Mondawmin,39.31749,-76.65153,,1
01/12/2015,1953,9S,1700 HOMESTEAD ST,SHOOTING,FIREARM,411,NORTHEASTERN,Coldstream Homestead Montebello,39.32029,-76.59453,,1
01/09/2015,625,9S,5000 MIDWOOD AV,SHOOTING,FIREARM,524,NORTHERN,Kenilworth Park,39.3485,-76.60371,,1
01/09/2015,2000,9S,1600 APPLETON ST,SHOOTING,FIREARM,732,WESTERN,Easterwood,39.30676,-76.64888,,1
01/08/2015,2350,9S,1800 BLOOMINGDALE RD,SHOOTING,FIREARM,812,SOUTHWESTERN,Rosemont,39.30808,-76.66987,,1
01/07/2015,1826,9S,3000 BRIGHTON ST,SHOOTING,FIREARM,814,SOUTHWESTERN,Rosemont,39.30516,-76.66793,,1
01/07/2015,820,9S,3000 SPAULDING AV,SHOOTING,FIREARM,615,NORTHWESTERN,Central Park Heights,39.34976,-76.67228,,1
01/06/2015,2252,9S,2300 W LANVALE ST,SHOOTING,FIREARM,723,WESTERN,Evergreen Lawn,39.29699,-76.65384,,1
01/03/2015,2109,9S,3800 S HANOVER ST,SHOOTING,FIREARM,912,SOUTHERN,Brooklyn,39.23661,-76.61054,,1
01/01/2015,1444,9S,4300 LASALLE AV,SHOOTING,FIREARM,435,NORTHEASTERN,Frankford,39.33772,-76.54926,,1
01/01/2015,330,9S,5500 WHITBY RD,SHOOTING,FIREARM,435,NORTHEASTERN,Cedonia,39.33362,-76.53253,,1
