geoid,name,B19013001 - Median household income in the past 12 months (in 2013 inflation-adjusted dollars),"B19013001 - Median household income in the past 12 months (in 2013 inflation-adjusted dollars), Error"
05000US24510,"Baltimore city, MD",41385,668
15000US245100101001,"Block Group 1, Baltimore, MD",84351,12649
15000US245100101002,"Block Group 2, Baltimore, MD",86538,26011
15000US245100101003,"Block Group 3, Baltimore, MD",124722,31354
15000US245100102001,"Block Group 1, Baltimore, MD",63125,29948
15000US245100102002,"Block Group 2, Baltimore, MD",81739,30759
15000US245100102003,"Block Group 3, Baltimore, MD",93929,35966
15000US245100102004,"Block Group 4, Baltimore, MD",73482,38738
15000US245100103001,"Block Group 1, Baltimore, MD",77446,62746
15000US245100103002,"Block Group 2, Baltimore, MD",90357,17359
15000US245100104001,"Block Group 1, Baltimore, MD",62042,27031
15000US245100104002,"Block Group 2, Baltimore, MD",92917,21683
15000US245100105001,"Block Group 1, Baltimore, MD",108125,30185
15000US245100105002,"Block Group 2, Baltimore, MD",72708,14079
15000US245100201001,"Block Group 1, Baltimore, MD",101979,19072
15000US245100201002,"Block Group 2, Baltimore, MD",80303,8981
15000US245100202001,"Block Group 1, Baltimore, MD",60000,16785
15000US245100202002,"Block Group 2, Baltimore, MD",61991,23796
15000US245100203001,"Block Group 1, Baltimore, MD",67056,22268
15000US245100203002,"Block Group 2, Baltimore, MD",69944,9903
15000US245100203003,"Block Group 3, Baltimore, MD",100109,35655
15000US245100301001,"Block Group 1, Baltimore, MD",9821,4758
15000US245100301002,"Block Group 2, Baltimore, MD",34438,14329
15000US245100302001,"Block Group 1, Baltimore, MD",51625,35714
15000US245100302002,"Block Group 2, Baltimore, MD",75931,17139
15000US245100401001,"Block Group 1, Baltimore, MD",57951,13794
15000US245100401002,"Block Group 2, Baltimore, MD",40863,8066
15000US245100402001,"Block Group 1, Baltimore, MD",20096,14420
15000US245100601001,"Block Group 1, Baltimore, MD",7266,34267
15000US245100601002,"Block Group 2, Baltimore, MD",47344,24537
15000US245100601003,"Block Group 3, Baltimore, MD",59792,33971
15000US245100601004,"Block Group 4, Baltimore, MD",58029,33875
15000US245100602001,"Block Group 1, Baltimore, MD",38026,13235
15000US245100602002,"Block Group 2, Baltimore, MD",37813,12943
15000US245100602003,"Block Group 3, Baltimore, MD",81891,25935
15000US245100602004,"Block Group 4, Baltimore, MD",53859,7780
15000US245100602005,"Block Group 5, Baltimore, MD",32000,48568
15000US245100603001,"Block Group 1, Baltimore, MD",26136,10429
15000US245100603002,"Block Group 2, Baltimore, MD",80714,22632
15000US245100604001,"Block Group 1, Baltimore, MD",38214,14654
15000US245100604002,"Block Group 2, Baltimore, MD",14792,5761
15000US245100701001,"Block Group 1, Baltimore, MD",41000,37651
15000US245100701002,"Block Group 2, Baltimore, MD",43000,9778
15000US245100702001,"Block Group 1, Baltimore, MD",24276,25361
15000US245100702002,"Block Group 2, Baltimore, MD",37386,23434
15000US245100702003,"Block Group 3, Baltimore, MD",38287,11606
15000US245100702004,"Block Group 4, Baltimore, MD",19900,7274
15000US245100702005,"Block Group 5, Baltimore, MD",18333,7030
15000US245100703001,"Block Group 1, Baltimore, MD",17879,11889
15000US245100703002,"Block Group 2, Baltimore, MD",32381,12709
15000US245100704001,"Block Group 1, Baltimore, MD",36563,17804
15000US245100704002,"Block Group 2, Baltimore, MD",15122,2653
15000US245100704003,"Block Group 3, Baltimore, MD",18214,15354
15000US245100801011,"Block Group 1, Baltimore, MD",92188,25792
15000US245100801012,"Block Group 2, Baltimore, MD",55789,11650
15000US245100801013,"Block Group 3, Baltimore, MD",39259,13109
15000US245100801014,"Block Group 4, Baltimore, MD",52772,42862
15000US245100801021,"Block Group 1, Baltimore, MD",39611,7726
15000US245100801022,"Block Group 2, Baltimore, MD",40068,8484
15000US245100802001,"Block Group 1, Baltimore, MD",34250,16952
15000US245100802002,"Block Group 2, Baltimore, MD",35179,30015
15000US245100802003,"Block Group 3, Baltimore, MD",12946,16725
15000US245100803011,"Block Group 1, Baltimore, MD",19196,14160
15000US245100803012,"Block Group 2, Baltimore, MD",29545,21697
15000US245100803013,"Block Group 3, Baltimore, MD",37875,6449
15000US245100803021,"Block Group 1, Baltimore, MD",35313,30302
15000US245100803022,"Block Group 2, Baltimore, MD",17917,19827
15000US245100803023,"Block Group 3, Baltimore, MD",33283,8497
15000US245100803024,"Block Group 4, Baltimore, MD",14034,7864
15000US245100804001,"Block Group 1, Baltimore, MD",25357,2668
15000US245100804002,"Block Group 2, Baltimore, MD",13882,13928
15000US245100805001,"Block Group 1, Baltimore, MD",23947,16629
15000US245100805002,"Block Group 2, Baltimore, MD",33816,5617
15000US245100805003,"Block Group 3, Baltimore, MD",36447,30073
15000US245100806001,"Block Group 1, Baltimore, MD",20208,9685
15000US245100806002,"Block Group 2, Baltimore, MD",36660,10137
15000US245100806003,"Block Group 3, Baltimore, MD",27014,17186
15000US245100806004,"Block Group 4, Baltimore, MD",29865,2289
15000US245100807001,"Block Group 1, Baltimore, MD",18304,6182
15000US245100807002,"Block Group 2, Baltimore, MD",15208,20269
15000US245100808001,"Block Group 1, Baltimore, MD",38271,1336
15000US245100808002,"Block Group 2, Baltimore, MD",16958,9514
15000US245100901001,"Block Group 1, Baltimore, MD",20038,4379
15000US245100901002,"Block Group 2, Baltimore, MD",51786,28019
15000US245100901003,"Block Group 3, Baltimore, MD",44583,28300
15000US245100901004,"Block Group 4, Baltimore, MD",19757,23695
15000US245100901005,"Block Group 5, Baltimore, MD",43875,19111
15000US245100902001,"Block Group 1, Baltimore, MD",53636,18893
15000US245100902002,"Block Group 2, Baltimore, MD",77007,12335
15000US245100903001,"Block Group 1, Baltimore, MD",77232,31067
15000US245100903002,"Block Group 2, Baltimore, MD",15625,5902
15000US245100903003,"Block Group 3, Baltimore, MD",79375,12891
15000US245100903004,"Block Group 4, Baltimore, MD",35774,20946
15000US245100904001,"Block Group 1, Baltimore, MD",30104,8207
15000US245100904002,"Block Group 2, Baltimore, MD",19231,10127
15000US245100905001,"Block Group 1, Baltimore, MD",27188,21977
15000US245100905002,"Block Group 2, Baltimore, MD",41970,4515
15000US245100906001,"Block Group 1, Baltimore, MD",54506,18446
15000US245100906002,"Block Group 2, Baltimore, MD",27857,19549
15000US245100906003,"Block Group 3, Baltimore, MD",37566,24757
15000US245100906004,"Block Group 4, Baltimore, MD",36995,10418
15000US245100907001,"Block Group 1, Baltimore, MD",34531,15568
15000US245100907002,"Block Group 2, Baltimore, MD",22261,21283
15000US245100907003,"Block Group 3, Baltimore, MD",40559,31078
15000US245100907004,"Block Group 4, Baltimore, MD",33111,5556
15000US245100908001,"Block Group 1, Baltimore, MD",18542,6364
15000US245100908002,"Block Group 2, Baltimore, MD",39231,7678
15000US245100908003,"Block Group 3, Baltimore, MD",22944,10955
15000US245100908004,"Block Group 4, Baltimore, MD",31534,25309
15000US245100908005,"Block Group 5, Baltimore, MD",22391,23169
15000US245100909001,"Block Group 1, Baltimore, MD",11991,33066
15000US245100909002,"Block Group 2, Baltimore, MD",35833,17159
15000US245100909003,"Block Group 3, Baltimore, MD",52656,42604
