CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,crimeCaseNumber,Total Incidents
02/20/2015,2005,9S,1600 W NORTH AV,SHOOTING,FIREARM,733,WESTERN,Penn North,"(39.3100000000, -76.6431800000)",,1
02/19/2015,1100,9S,1100 GLENEAGLE RD,SHOOTING,FIREARM,522,NORTHERN,Glen Oaks,"(39.3638000000, -76.5959400000)",,1
02/16/2015,1910,9S,2100 N ROSEDALE ST,SHOOTING,FIREARM,812,SOUTHWESTERN,Walbrook,"(39.3117800000, -76.6695100000)",,1
02/12/2015,1318,9S,2000 FREDERICK AV,SHOOTING,FIREARM,836,SOUTHWESTERN,Boyd-Booth,"(39.2862500000, -76.6486100000)",,1
02/12/2015,0035,9S,2200 N FULTON AV,SHOOTING,FIREARM,736,WESTERN,Parkview/Woodbrook,"(39.3133000000, -76.6462400000)",,1
02/12/2015,1837,9S,,SHOOTING,FIREARM,,,,,,1
02/12/2015,1338,9S,400 N BRADFORD ST,SHOOTING,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2959200000, -76.5842800000)",,1
02/09/2015,2132,9S,4900 LIBERTY HEIGHTS AV,SHOOTING,FIREARM,626,NORTHWESTERN,Howard Park,"(39.3323500000, -76.6986100000)",,1
02/02/2015,0037,9S,100 N POPPLETON ST,SHOOTING,FIREARM,712,WESTERN,Poppleton,"(39.2900400000, -76.6322500000)",,1
02/01/2015,1407,9S,600 N ELLWOOD AV,SHOOTING,FIREARM,223,SOUTHEASTERN,Ellwood Park/Monument,"(39.2984400000, -76.5738000000)",,1
01/31/2015,2354,9S,200 MASON CT,SHOOTING,FIREARM,212,SOUTHEASTERN,Perkins Homes,"(39.2883600000, -76.5958700000)",,1
01/30/2015,2219,9S,0 N BENTALOU ST,SHOOTING,FIREARM,735,WESTERN,Penrose/Fayette Street Outreach,"(39.2894300000, -76.6529500000)",,1
01/29/2015,1328,9S,2300 E LAFAYETTE AV,SHOOTING,FIREARM,331,EASTERN,Broadway East,"(39.3110500000, -76.5854200000)",,1
01/29/2015,1053,9S,1100 N Patterson Park Av,SHOOTING,FIREARM,323,EASTERN,Middle East,"(39.3039200000, -76.5854800000)",,1
01/28/2015,1149,9S,4800 WILERN AV,SHOOTING,FIREARM,614,NORTHWESTERN,Central Park Heights,"(39.3442400000, -76.6746000000)",,1
01/27/2015,2340,9S,3600 9TH ST,SHOOTING,FIREARM,913,SOUTHERN,Brooklyn,"(39.2345200000, -76.5979800000)",,1
01/27/2015,2049,9S,1000 E LOMBARD ST,SHOOTING,FIREARM,211,SOUTHEASTERN,Jonestown,"(39.2892600000, -76.6022800000)",,1
01/26/2015,2056,9S,900 POPLAR GROVE ST,SHOOTING,FIREARM,815,SOUTHWESTERN,Franklintown Road,"(39.2981200000, -76.6651600000)",,1
